code,finish,cost_usd,category
DB12,Slim Frost,286.0,BASE CABINETS
DB15,Slim Frost,311.0,BASE CABINETS
DB18,Slim Frost,336.0,BASE CABINETS
DB21,Slim Frost,362.0,BASE CABINETS
DB24,Slim Frost,387.0,BASE CABINETS
DB27,Slim Frost,398.0,BASE CABINETS
DB30,Slim Frost,408.0,BASE CABINETS
DB33,Slim Frost,421.0,BASE CABINETS
DB36,Slim Frost,442.0,BASE CABINETS
DB24-2,Slim Frost,387.0,BASE CABINETS
DB30-2,Slim Frost,408.0,BASE CABINETS
BMC30,Slim Frost,294.0,BASE CABINETS
LSB33,Slim Frost,433.0,BASE CABINETS
LSB36,Slim Frost,453.0,BASE CABINETS
BBC39/42,Slim Frost,324.0,BASE CABINETS
BBC42/45,Slim Frost,378.0,BASE CABINETS
BF09-PO,Slim Frost,207.0,BASE CABINETS
BES12L,Slim Frost,172.0,BASE CABINETS
BES12R,Slim Frost,172.0,BASE CABINETS
BEC24,Slim Frost,227.0,BASE CABINETS
B18TR,Slim Frost,234.0,BASE CABINETS
BF0924,Houston Light Grey,133.0,BASE CABINETS
B12,Houston Light Grey,193.0,BASE CABINETS
B15,Houston Light Grey,210.0,BASE CABINETS
B18,Houston Light Grey,227.0,BASE CABINETS
B21,Houston Light Grey,242.0,BASE CABINETS
B24,Houston Light Grey,267.0,BASE CABINETS
B27,Houston Light Grey,285.0,BASE CABINETS
B30,Houston Light Grey,302.0,BASE CABINETS
B33,Houston Light Grey,318.0,BASE CABINETS
B36,Houston Light Grey,335.0,BASE CABINETS
B39,Houston Light Grey,415.0,BASE CABINETS
B42,Houston Light Grey,458.0,BASE CABINETS
DB12,Houston Light Grey,312.0,BASE CABINETS
DB15,Houston Light Grey,339.0,BASE CABINETS
DB18,Houston Light Grey,367.0,BASE CABINETS
DB21,Houston Light Grey,394.0,BASE CABINETS
DB24,Houston Light Grey,422.0,BASE CABINETS
DB27,Houston Light Grey,435.0,BASE CABINETS
DB30,Houston Light Grey,444.0,BASE CABINETS
DB33,Houston Light Grey,460.0,BASE CABINETS
DB36,Houston Light Grey,482.0,BASE CABINETS
DB24-2,Houston Light Grey,422.0,BASE CABINETS
DB30-2,Houston Light Grey,444.0,BASE CABINETS
